building_code,open_schools,num_open_schools,top_school_enrolled,total_enrolled,primary_address,city,longitude,latitude,campus_name,room,sbhc_sponsor,schools_served,num_school_served,services_provided
K430,Brooklyn Technical High School,1,Brooklyn Technical High School,5942,29 FT GREENE PLACE,BROOKLYN,-73.976435,40.688896,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q430,Francis Lewis High School,1,Francis Lewis High School,4267,58-20 UTOPIA PARKWAY,QUEENS,-73.795049,40.740875,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K405,Midwood High School,1,Midwood High School,4062,2839 BEDFORD AVENUE,BROOKLYN,-73.952356,40.632829,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K490,Fort Hamilton High School,1,Fort Hamilton High School,3959,8301 SHORE ROAD,BROOKLYN,-74.038103,40.626827,NA,NA,NA,NA,NA,School Mental Health Specialist Program
R455,Tottenville High School,1,Tottenville High School,3780,100 LUTEN AVENUE,STATEN ISLAND,-74.193431,40.528152,NA,NA,NA,NA,NA,Prevention Intervention Program MH
K525,Edward R. Murrow High School,1,Edward R. Murrow High School,3622,1600 AVENUE L,BROOKLYN,-73.959141,40.619671,NA,NA,NA,NA,NA,Prevention Intervention Program MH
K425,James Madison High School,1,James Madison High School,3607,3787 BEDFORD AVENUE,BROOKLYN,-73.947661,40.610499,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q440,Forest Hills High School,1,Forest Hills High School,3452,67-01 110 STREET,QUEENS,-73.843972,40.730017,NA,NA,NA,NA,NA,School Mental Health Specialist Program
M477,Stuyvesant High School,1,Stuyvesant High School,3331,345 CHAMBERS STREET,MANHATTAN,-74.013921,40.718025,NA,NA,NA,NA,NA,School-based Mental Health Clinic
K505,Franklin Delano Roosevelt High School,1,Franklin Delano Roosevelt High School,3258,5800 20 AVENUE,BROOKLYN,-73.982583,40.621299,NA,NA,NA,NA,NA,Prevention Intervention Program MH
R435,New Dorp High School,1,New Dorp High School,3171,465 NEW DORP LANE,STATEN ISLAND,-74.105878,40.570909,New Dorp High School,S117,Northwell SIUH,New Dorp High School,1,School-based Health Center w/ Mental Health
K445,New Utrecht High School,1,New Utrecht High School,3118,1601 80 STREET,BROOKLYN,-74.002308,40.613041,NA,NA,NA,NA,NA,School Mental Health Specialist Program
